Time,Latitude,Longitude,Range,CorrectedRange,LLH,CorrectedLLH,OrthometricHeight
603145215.5360055,52.418735,13.649477,810663.9923,810661.6410,65.8297,65.8598,26.0913
603145215.5854638,52.421583999999996,13.648093,810661.7559,810659.4046,68.6829,68.7130,28.9522
605478012.9636648,52.412506,13.659531999999999,810422.5247,810420.1610,75.2342,75.3008,35.5247
605478013.0130966,52.415354,13.658149,810422.5475,810420.1838,75.8262,75.8928,36.1244
605478013.0625422,52.418203,13.656765,810423.1374,810420.7737,75.8514,75.9180,36.1570
605478013.1119876,52.421051999999996,13.655382,810423.8893,810421.5256,75.7145,75.7810,36.0276
607810817.5575054,52.403757999999996,13.646493,810379.2705,810376.8667,71.3974,71.4420,31.6210
607810817.606951,52.406607,13.645107999999999,810378.9970,810376.5931,72.2966,72.3411,32.5279
607810817.6563964,52.409456,13.643723999999999,810378.9572,810376.5533,72.9620,73.0066,33.2010
607810817.7058291,52.412304,13.642339,810379.6158,810377.2118,72.9290,72.9735,33.1757
607810817.7552748,52.415153,13.640953999999999,810390.0673,810387.6633,63.1031,63.1477,23.3576
610143620.939528,52.403253,13.649358,810545.7528,810543.3529,71.1068,71.1051,31.2860
610143620.9889741,52.406102,13.647972999999999,810546.6312,810544.2314,70.8563,70.8546,31.0433
610143621.03842,52.40895,13.646588999999999,810547.5270,810545.1272,70.5885,70.5868,30.7831
610143621.0878775,52.4118,13.645204999999999,810546.2705,810543.8707,72.4731,72.4714,32.6753
610143621.1373234,52.414649,13.64382,810545.0772,810542.6775,74.2943,74.2927,34.5042
610143621.1867816,52.417497999999995,13.642434999999999,810552.0138,810549.6141,67.9858,67.9842,28.2033
610143621.236227,52.420347,13.64105,810549.3226,810546.9229,71.3050,71.3034,31.5301
612476421.0323312,52.404838999999996,13.655529,810608.9174,810606.5227,70.6397,70.6230,30.8167
612476421.0817904,52.407688,13.654145,810610.1222,810607.7274,70.0539,70.0372,30.2384
612476421.1312361,52.410537,13.652761,810610.7648,810608.3700,70.0301,70.0134,30.2223
612476421.180707,52.413387,13.651375999999999,810611.5862,810609.1913,69.8279,69.8112,30.0276
612476421.2301524,52.416236,13.649992,810612.8286,810610.4337,69.2042,69.1875,29.4116
612476421.279598,52.419084999999995,13.648607,810616.5390,810614.1440,66.1126,66.0959,26.3275
612476421.3290689,52.421935,13.647222,810615.1450,810612.7500,68.1256,68.1089,28.3481
614809220.2962024,52.405169,13.65972,810444.1831,810441.6899,71.9350,71.9532,32.1527
614809220.3456607,52.408018,13.658336,810444.9597,810442.4663,71.7722,71.7904,31.9975
614809220.3950934,52.410866999999996,13.656951999999999,810448.2666,810445.7731,69.0786,69.0968,29.3116
614809220.4445262,52.413714999999996,13.655569,810449.0031,810446.5094,68.9556,68.9738,29.1962
614809220.493959,52.416563,13.654185,810450.5008,810448.0070,68.0713,68.0895,28.3196
614809220.5434046,52.419411999999994,13.652801,810453.7603,810451.2663,65.4254,65.4436,25.6813
614809220.59285,52.422261,13.651416999999999,810447.9070,810445.4129,71.8922,71.9104,32.1559
617142019.5323322,52.406090999999996,13.658845999999999,810299.4174,810296.8329,71.8665,71.9290,32.1303
617142019.5817528,52.408939,13.657463,810302.6234,810300.0389,69.2806,69.3432,29.5522
617142019.6311989,52.411787999999994,13.656079,810303.2679,810300.6833,69.2565,69.3191,29.5358
617142019.6806321,52.414635999999994,13.654696,810303.8571,810301.2724,69.2876,69.3502,29.5746
617142019.7300527,52.417483999999995,13.653312999999999,810304.8369,810302.2521,68.9279,68.9904,29.2226
617142019.779486,52.420331999999995,13.651928999999999,810309.3871,810306.8022,64.9980,65.0605,25.3004
619474816.2410715,52.413815,13.659301,810408.6996,810406.1714,75.2703,75.3389,35.5664
619474816.2905171,52.416664,13.657917999999999,810408.7768,810406.2486,75.8225,75.8911,36.1262
619474816.3399498,52.419512999999995,13.656533999999999,810421.4401,810418.9120,63.7883,63.8569,24.0996
619474816.3893826,52.422360999999995,13.655151,810422.2847,810419.7566,63.5729,63.6415,23.8918
621807617.0076191,52.404345,13.646241999999999,810640.0312,810637.5886,71.3362,71.3624,31.5432
621807617.0570784,52.407194,13.644857,810640.8831,810638.4404,71.1125,71.1387,31.3271
621807617.106524,52.410042999999995,13.643472,810641.4527,810639.0100,71.1709,71.1971,31.3931
621807617.1559949,52.412893,13.642085999999999,810642.4247,810639.9820,70.8271,70.8534,31.0570
621807617.2054532,52.415741999999995,13.640701,810643.9895,810641.5467,69.8905,69.9167,30.1280
624140419.0495443,52.405257,13.648655999999999,810648.1665,810645.6834,71.0142,70.9855,31.1722
624140419.0990036,52.408106,13.647271,810648.5536,810646.0704,71.2450,71.2163,31.4105
624140419.1484623,52.410954999999994,13.645887,810647.2175,810644.7343,73.1989,73.1702,33.3721
624140419.197921,52.413804999999996,13.644502,810652.4407,810649.9575,68.5934,68.5648,28.7743
624140419.2473798,52.416653999999994,13.643117,810653.6914,810651.2081,67.9606,67.9319,28.1490
624140419.2968259,52.419503,13.641732,810656.2347,810653.7514,66.0348,66.0062,26.2309
624140419.3462842,52.422352,13.640347,810659.1375,810656.6542,63.7498,63.7212,23.9536
626473217.7924864,52.403921,13.654010999999999,810443.0916,810440.7115,71.9390,71.8923,32.0808
626473217.8419445,52.406771,13.652626999999999,810444.2883,810441.9082,71.3589,71.3122,31.5085
626473217.8913772,52.409619,13.651244,810446.0155,810443.6354,70.2479,70.2012,30.4052
626473217.9408228,52.412468,13.649859999999999,810446.5534,810444.1733,70.3265,70.2798,30.4916
626473217.9902682,52.415316999999995,13.648475999999999,810447.6232,810445.2431,69.8731,69.8264,30.0460
626473218.0397129,52.418166,13.647091,810450.3820,810448.0019,67.7307,67.6840,27.9112
626473218.0891583,52.421014,13.645707,810452.4929,810450.1128,66.2362,66.1896,26.4242
628806013.6642618,52.403804,13.660025,810376.7541,810374.3593,72.0230,72.0060,32.2014
628806013.7137074,52.406653,13.658641999999999,810377.4341,810375.0393,71.9704,71.9534,32.1565
628806013.7631402,52.409501,13.657259,810396.7742,810394.3795,53.2574,53.2404,13.4513
