Time,Latitude,Longitude,Range,CorrectedRange,LLH,CorrectedLLH,OrthometricHeight
542492403.8238759,52.385653999999995,13.673677999999999,810413.4908,810411.0918,72.1372,72.0509,32.2024
542492403.8733213,52.388503,13.672296,810414.0191,810411.6201,72.2319,72.1456,32.3051
544825207.7350259,52.372243999999995,13.665177,810516.4498,810514.0180,71.8200,71.7196,31.8157
544825207.7844713,52.375093,13.663794,810516.8749,810514.4431,72.0224,71.9220,32.0262
544825207.8339169,52.377942,13.662410999999999,810517.5384,810515.1065,71.9865,71.8861,31.9983
544825207.8833752,52.380790999999995,13.661026999999999,810517.9931,810515.5612,72.1595,72.0591,32.1793
544825207.9328206,52.38364,13.659644,810518.6619,810516.2299,72.1183,72.0178,32.1461
544825207.9822788,52.386489999999995,13.658259999999999,810519.7213,810517.2893,71.6865,71.5861,31.7224
544825208.0317233,52.389337999999995,13.656875999999999,810519.9336,810517.5016,72.1016,72.0012,32.1454
547158010.7054687,52.370934,13.672409,810608.7632,810606.3148,71.9839,71.9357,32.0357
547158010.7549143,52.373782999999996,13.671026999999999,810610.9510,810608.5027,70.4177,70.3695,30.4776
547158010.8043852,52.376633,13.669642999999999,810610.5240,810608.0758,71.4666,71.4184,31.5347
547158010.8538435,52.379483,13.668261,810610.5242,810608.0761,72.0882,72.0400,32.1644
547158010.9032891,52.382332,13.666877999999999,810611.2200,810608.7719,72.0140,71.9658,32.0982
547158010.9527473,52.385180999999996,13.665495,810611.9784,810609.5304,71.8774,71.8292,31.9697
547158011.0022056,52.388031,13.664111,810612.8207,810610.3728,71.6568,71.6086,31.7572
549490814.7098272,52.370903999999996,13.664845999999999,810501.0998,810498.5774,71.1498,71.1889,31.2801
549490814.7592726,52.373753,13.663464,810500.8444,810498.3221,72.0196,72.0586,32.1579
549490814.8087182,52.376602,13.662082,810501.5411,810499.0189,71.9372,71.9762,32.0834
549490814.8581636,52.379450999999996,13.660699999999999,810502.0562,810499.5342,72.0364,72.0754,32.1907
549490814.9076092,52.3823,13.659317,810502.7759,810500.2540,71.9311,71.9701,32.0934
549490814.9570673,52.385149,13.657934,810503.4470,810500.9253,71.8744,71.9134,32.0448
549490815.0065255,52.387999,13.656550999999999,810504.0843,810501.5627,71.8516,71.8906,32.0299
551823613.5928159,52.372152,13.670606,810326.0648,810323.6148,70.4267,70.5308,30.6330
551823613.6422489,52.375,13.669224,810325.0866,810322.6368,72.0224,72.1265,32.2367
551823613.6916821,52.377849,13.667842,810325.7055,810323.2559,72.0209,72.1250,32.2431
551823613.7411153,52.380697,13.666459999999999,810326.3710,810323.9216,71.9729,72.0770,32.2031
551823613.7905488,52.383545999999996,13.665078,810327.0416,810324.5924,71.9197,72.0238,32.1578
551823613.839982,52.386393999999996,13.663696,810328.0271,810325.5781,71.5517,71.6558,31.7978
551823613.8894153,52.389241999999996,13.662313999999999,810328.5984,810326.1496,71.5978,71.7019,31.8518
554156411.1431186,52.375930999999994,13.674907,810356.2024,810353.7426,70.1193,70.2209,30.3420
554156411.1925516,52.37878,13.673525,810355.1001,810352.6404,71.8488,71.9504,32.0793
554156411.2419848,52.381628,13.672144,810355.6960,810353.2364,71.8802,71.9818,32.1185
554156411.2914181,52.384477,13.670762,810356.5935,810354.1339,71.6100,71.7116,31.8559
554156411.3408515,52.387325,13.669379,810357.5232,810355.0637,71.3075,71.4091,31.5612
556489208.4594514,52.378056,13.675222999999999,810547.3975,810544.9516,71.9206,71.9855,32.1134
556489208.5089097,52.380905,13.673841,810547.9824,810545.5366,71.9639,72.0288,32.1646
556489208.558368,52.383755,13.672459,810548.6564,810546.2106,71.9182,71.9831,32.1268
556489208.6078134,52.386604,13.671076999999999,810549.4402,810546.9944,71.7624,71.8273,31.9788
556489208.657259,52.389452999999996,13.669694,810550.5181,810548.0723,71.3126,71.3775,31.5369
558822006.4145622,52.372569,13.664023,810613.6265,810611.2102,72.0436,72.0941,32.1908
558822006.4640205,52.375419,13.66264,810614.2331,810611.8168,72.0579,72.1084,32.2129
558822006.5134659,52.378268,13.661256,810614.9111,810612.4948,72.0008,72.0514,32.1636
558822006.5629241,52.381116999999996,13.659873,810615.4522,810613.0359,72.0806,72.1312,32.2512
558822006.6123698,52.383966,13.658489,810616.1531,810613.7368,72.0005,72.0511,32.1789
558822006.661828,52.386815,13.657105,810616.9137,810614.4974,71.8608,71.9114,32.0470
561154810.2136936,52.370450999999996,13.667473,810505.3041,810502.8637,70.6523,70.7092,30.8033
561154810.263139,52.3733,13.666089999999999,810504.3447,810501.9043,72.2294,72.2863,32.3882
561154810.312597,52.376149,13.664707,810505.0070,810502.5666,72.1849,72.2418,32.3514
561154810.3620424,52.378997999999996,13.663324999999999,810505.9904,810503.5500,71.8192,71.8761,31.9935
561154810.411488,52.381847,13.661942,810506.4574,810504.0169,71.9700,72.0269,32.1520
561154810.4609334,52.384696,13.660559,810507.1082,810504.6677,71.9369,71.9938,32.1267
561154810.5103917,52.387546,13.659175,810507.7660,810505.3255,71.8970,71.9539,32.0945
563487610.8517146,52.37215,13.670031999999999,810414.0547,810411.6501,71.5206,71.5686,31.6703
