Time,Latitude,Longitude,Range,CorrectedRange,LLH,CorrectedLLH,OrthometricHeight
579817216.1820834,52.437512999999996,13.644160999999999,810606.1812,810603.7289,71.1406,71.2568,31.5428
579817216.2315416,52.440362,13.642774999999999,810606.2557,810603.8035,71.6864,71.8026,32.0960
579817216.2809999,52.443211999999995,13.641389,810606.7615,810604.3094,71.8009,71.9171,32.2179
579817216.3304455,52.446059999999996,13.640003,810607.2849,810604.8329,71.8976,72.0138,32.3220
582150017.1149752,52.429316,13.644805999999999,810485.3822,810482.9262,67.0673,67.1523,27.4129
582150017.164408,52.432164,13.643421,810481.5396,810479.0835,71.5244,71.6094,31.8774
582150017.2138536,52.435013,13.642036,810482.7636,810480.3075,70.9149,70.9999,31.2754
582150017.2632992,52.437861999999996,13.640651,810482.9949,810480.5387,71.2982,71.3832,31.6661
582150017.3127449,52.440711,13.639265,810483.7373,810481.2811,71.1703,71.2553,31.5457
582150017.3622031,52.44356,13.637879,810483.9159,810481.4596,71.6064,71.6914,31.9892
582150017.4116359,52.446408,13.636493999999999,810484.2920,810481.8356,71.8448,71.9298,32.2350
584482816.3294973,52.429269999999995,13.64495,810337.0173,810334.5641,67.5859,67.6441,27.9045
584482816.3789301,52.432117999999996,13.643564999999999,810333.5782,810331.1251,71.6438,71.7021,31.9699
584482816.4283757,52.434967,13.64218,810334.3365,810331.8835,71.5045,71.5628,31.8382
584482816.4778085,52.437815,13.640794999999999,810335.1197,810332.6668,71.3402,71.3985,31.6814
584482816.5272412,52.440663,13.63941,810335.9111,810333.4582,71.1677,71.2260,31.5164
584482816.5766869,52.443512,13.638024999999999,810336.0527,810333.5999,71.6451,71.7034,32.0014
584482816.6261196,52.44636,13.636638999999999,810336.4845,810334.0318,71.8321,71.8904,32.1959
586815613.0594995,52.439374,13.647559,810396.7927,810394.2893,71.7398,71.8111,32.1077
586815613.1089323,52.442222,13.646175,810397.3671,810394.8637,71.7931,71.8644,32.1683
586815613.1583779,52.445071,13.644789,810398.0123,810395.5090,71.7755,71.8468,32.1580
589148410.8036418,52.42863,13.630936,810586.1861,810583.6642,71.7462,71.8287,32.0709
589148410.8531001,52.431478999999996,13.629548999999999,810586.7356,810584.2140,71.8246,71.9071,32.1570
589148410.9025583,52.434328,13.628162999999999,810587.5688,810585.0475,71.6192,71.7017,31.9593
591481215.6148036,52.429604999999995,13.633823999999999,810645.5846,810643.1846,71.9066,71.9518,32.2002
591481215.6642623,52.432455,13.632437999999999,810646.2370,810643.8370,71.8741,71.9192,32.1754
591481215.7137084,52.435303,13.631051999999999,810646.7994,810644.3994,71.9314,71.9765,32.2403
591481215.7631671,52.438151999999995,13.629665,810647.4552,810645.0553,71.8954,71.9406,32.2120
591481215.8126256,52.441002,13.628279,810648.1233,810645.7234,71.8472,71.8923,32.1715
593814017.192303,52.428332,13.637869,810504.9213,810502.5373,66.2000,66.1544,26.4033
593814017.241749,52.43118,13.636484,810499.7437,810497.3597,71.9942,71.9486,32.2050
593814017.2912071,52.43403,13.635098,810500.6175,810498.2335,71.7372,71.6915,31.9555
593814017.3406527,52.436878,13.633712,810501.3094,810498.9254,71.6619,71.6162,31.8877
593814017.390111,52.439727999999995,13.632325999999999,810501.8184,810499.4345,71.7696,71.7240,32.0031
593814017.4395566,52.442575999999995,13.630939999999999,810502.2822,810499.8983,71.9224,71.8768,32.1634
593814017.4890149,52.445426,13.629553999999999,810502.5334,810500.1495,72.2880,72.2424,32.5365
596146815.1111548,52.429873,13.643661,810404.5871,810402.1546,68.1137,67.9803,28.2413
596146815.160588,52.432721,13.642277,810405.3585,810402.9260,67.9666,67.8332,28.1017
596146815.2100339,52.43557,13.640891,810406.2468,810403.8143,67.7028,67.5694,27.8453
596146815.2594666,52.438418,13.639505999999999,810406.7530,810404.3206,67.8208,67.6875,27.9708
596146815.3088996,52.441266,13.638121,810404.7031,810402.2707,70.4950,70.3617,30.6525
596146815.358345,52.444115,13.636735999999999,810403.6581,810401.2257,72.1645,72.0312,32.3294
596146815.4077778,52.446963,13.635349999999999,810415.7267,810413.2943,60.7202,60.5869,20.8926
598479610.6750946,52.434667,13.648004,810524.7644,810522.3719,72.0885,71.9534,32.2351
598479610.72454,52.437515999999995,13.646619,810525.4182,810523.0257,72.0661,71.9311,32.2203
598479610.7739983,52.440365,13.645233999999999,810526.0060,810523.6135,72.1099,71.9749,32.2717
598479610.8234565,52.443214999999995,13.643849,810526.7784,810524.3859,71.9691,71.8341,32.1386
598479610.8729022,52.446064,13.642463999999999,810527.3778,810524.9852,72.0012,71.8661,32.1782
600812414.4236469,52.42937,13.639531,810711.8846,810709.5545,68.3245,68.2698,28.5240
600812414.4731181,52.432218999999996,13.638143999999999,810708.9491,810706.6190,71.8879,71.8332,32.0950
600812414.5225763,52.435069,13.636757999999999,810709.9714,810707.6413,71.4933,71.4386,31.7080
600812414.5720472,52.437919,13.635371,810710.5630,810708.2329,71.5296,71.4749,31.7519
600812414.6215181,52.440768,13.633985,810711.0006,810708.6705,71.7199,71.6652,31.9497
600812414.6709764,52.443618,13.632598,810711.4406,810709.1105,71.9076,71.8529,32.1450
