Time,Latitude,Longitude,LLH,CorrectedLLH,OrthometricHeight
514498801.9463763,52.447827999999994,13.625001999999999,72.0557,72.0695,32.3672
514498801.99583507,52.450677,13.623615,71.4850,71.4988,31.8042
514498802.04529357,52.453526,13.622228,72.8847,72.8985,33.2109
514498802.0947516,52.456374999999994,13.62084,64.1420,64.1558,24.4753
514498802.1442232,52.459224999999996,13.619451999999999,72.2421,72.2559,32.5824
516831603.6443763,52.330073,13.684114,69.0144,69.0064,28.9765
516831603.69382167,52.332921999999996,13.682732999999999,69.8188,69.8108,29.7901
516831603.74326706,52.335771,13.681353,70.7244,70.7164,30.7049
516831603.7927253,52.338620999999996,13.679972,71.0883,71.0804,31.0780
516831603.84217095,52.34147,13.678590999999999,70.5532,70.5453,30.5521
516831603.8916292,52.344319999999996,13.677209999999999,70.9241,70.9161,30.9322
516831603.9410746,52.347169,13.675829,71.2799,71.2720,31.2973
516831603.99052024,52.350017,13.674448,71.6831,71.6752,31.7096
516831604.0399647,52.352866,13.673065999999999,72.2406,72.2327,32.2752
516831604.0894103,52.355715,13.671685,72.1788,72.1709,32.2211
516831604.1388686,52.358565,13.670302999999999,72.1160,72.1081,32.1661
516831604.18832684,52.361415,13.668921,72.1898,72.1819,32.2477
516831604.237772,52.364264,13.667539,72.1426,72.1347,32.2083
516831604.2872176,52.367112999999996,13.666157,72.1347,72.1269,32.2082
516831604.336663,52.369960999999996,13.664774,71.0598,71.0520,31.1411
516831604.3861215,52.372811,13.663390999999999,71.9903,71.9825,32.0794
516831604.4355676,52.375659999999996,13.662009,72.0416,72.0338,32.1384
516831604.4850137,52.378509,13.660625999999999,72.1329,72.1251,32.2375
516831604.5344598,52.381358,13.659243,72.0831,72.0752,32.1955
516831604.5839186,52.384206999999996,13.65786,72.0259,72.0180,32.1460
516831604.6333773,52.387057,13.656476,72.1128,72.1049,32.2407
516831604.6828232,52.389905999999996,13.655092999999999,72.1861,72.1782,32.3218
516831604.7322693,52.392754,13.653709,71.9984,71.9905,32.1418
516831604.781728,52.395604,13.652325,72.0831,72.0753,32.2344
516831604.8311739,52.398452999999996,13.650941999999999,71.9918,71.9840,32.1509
516831604.88063216,52.401302,13.649557,71.6561,71.6483,31.8229
516831604.93007755,52.404151,13.648173,71.4182,71.4104,31.5928
516831604.9795232,52.407,13.646789,71.7160,71.7082,31.8984
516831605.0289941,52.40985,13.645404,71.5860,71.5782,31.7761
516831605.07844067,52.412698999999996,13.644019,70.6742,70.6664,30.8719
516831605.12788606,52.415547,13.642634999999999,72.1287,72.1209,32.3340
516831605.1773443,52.418397,13.641249,68.8001,68.7923,29.0130
516831605.22678995,52.421245,13.639864,72.3302,72.3224,32.5507
516831605.2762482,52.424094999999994,13.638479,71.6324,71.6246,31.8605
516831605.3256936,52.426942999999994,13.637094,71.8871,71.8793,32.1228
516831605.3751519,52.429793,13.635708,71.9987,71.9909,32.2420
516831605.42459726,52.432641,13.634322,71.8788,71.8711,32.1297
516831605.4740555,52.435491,13.632935999999999,71.8040,71.7963,32.0625
516831605.52350116,52.438339,13.631549999999999,71.9112,71.9035,32.1773
